COUNTY,Population,pctUninsured,Median_Household_Income,pctLowBirthWeight,pctAdultObese,pctSmokers
Alamance,154378,20,43001,9,33,24
Alexander,36930,19,46064,8,28,26
Alleghany,10939,27,37086,7.2,24,27
Anson,26161,19,33443,11.3,35,20
Ashe,27151,24,35155,8.5,24,24
Avery,17713,26,34933,7.6,26,25
Beaufort,47464,20,39043,10.3,32,28
Bertie,20344,17,31610,13,35,19
Bladen,34843,23,33971,9.8,36,21
Brunswick,115301,20,47799,8.3,29,21
Buncombe,247912,20,45738,8.3,24,20
Burke,89842,21,36150,7.8,31,24
Cabarrus,187226,18,55046,8.7,29,19
Caldwell,81990,18,34811,8.7,29,23
Camden,10187,16,60537,8.5,31,17
Carteret,68434,20,46227,7.2,28,21
Caswell,23190,19,37122,10.2,34,36
Catawba,154810,19,43777,8.8,29,23
Chatham,66817,19,56981,7.5,26,20
Cherokee,27218,22,34476,10.1,29,25
Chowan,14726,18,39143,11.9,32,30
Clay,10584,22,37078,6.6,26,21
Cleveland,97047,18,40528,9.7,29,24
Columbus,57246,21,35026,11.6,32,23
Craven,104489,18,45022,8.2,30,22
Cumberland,325871,17,44038,9.7,31,22
Currituck,24396,18,57577,6.8,31,26
Dare,35019,21,52083,6.8,28,31
Davidson,163420,18,40424,9.7,30,26
Davie,41554,18,49708,8.1,27,23
Duplin,60084,26,38106,7.8,34,20
Durham,288133,20,52331,9.3,29,14
Edgecombe,55574,18,33080,12.4,40,21
Forsyth,361220,19,46163,10.4,26,20
Franklin,62260,21,39312,9,33,27
Gaston,209420,19,42461,9.8,31,26
Gates,11650,17,48194,10.1,34,11.7
Graham,8736,22,33553,9.5,30,13.4
Granville,58275,19,48680,8.9,33,12.3
Greene,21232,23,39481,11,33,11.8
Guilford,506610,20,46093,9.5,28,12.6
Halifax,53453,19,32597,12.6,39,12.0
Harnett,124987,20,45257,8.7,31,12.2
Haywood,59183,19,39320,9.7,24,13.2
Henderson,109540,22,44561,7.3,22,13.1
Hertford,24431,20,33616,12.3,33,11.8
Hoke,51322,22,43987,9.1,34,12.2
Hyde,5721,25,36681,8.9,30,11.5
Iredell,164517,19,49983,8.8,28,12.8
Jackson,40919,26,40511,6.8,32,13.2
Johnston,177967,21,50904,7.8,34,12.0
Jones,10215,21,39602,10.4,34,11.8
Lee,60266,22,48061,10,29,12.3
Lenoir,58914,21,34127,10.9,35,11.8
Lincoln,79740,18,50537,8.4,29,12.8
McDowell,44961,19,36840,8.7,31,13.0
Macon,33857,26,37219,6.8,24,13.3
Madison,21022,19,37479,8.2,29,13.1
Martin,23699,19,34761,12.8,36,11.7
Mecklenburg,990977,18,54657,9.3,24,12.6
Mitchell,15328,18,38303,9.8,30,13.0
Montgomery,27571,24,35613,8.4,33,12.5
Moore,91587,18,50169,8,28,12.3
Nash,95093,19,41575,9.8,32,12.0
New Hanover,213267,18,48651,8.2,25,11.9
Northampton,20839,17,31732,13.6,36,12.0
Onslow,185220,17,45213,7.4,28,11.8
Orange,140352,15,59472,7.6,21,12.4
Pamlico,12953,19,43517,8.8,30,11.6
Pasquotank,39981,18,40094,9.9,35,11.6
Pender,55334,21,44949,8,27,11.9
Perquimans,13601,19,42504,9.1,34,11.6
Person,39276,18,42091,9.4,33,12.4
Pitt,174263,19,40940,10.4,37,11.8
Polk,20411,21,43665,8.6,25,13.0
Randolph,142577,22,40896,8.3,30,12.5
Richmond,46405,21,32825,10.3,35,12.3
Robeson,134841,26,30248,11.2,40,12.1
Rockingham,91878,19,40446,9.5,34,12.7
Rowan,138323,21,41475,9.6,34,12.7
Rutherford,66956,19,35544,8.8,27,12.9
Sampson,64150,23,35890,9.2,36,12.0
Scotland,36025,20,32314,13,36,12.2
Stanly,60635,18,42801,9.7,29,12.5
Stokes,46588,18,44552,9.7,31,12.8
Surry,73050,22,36221,8.3,31,12.9
Swain,14058,24,34552,7.3,33,13.3
Transylvania,32903,21,40578,8.4,24,13.1
Tyrrell,4109,25,32642,13.4,31,11.4
Union,212756,17,63912,7.8,27,12.5
Vance,44808,20,35565,12.2,35,12.2
Wake,974289,15,65433,7.9,25,12.2
Warren,20575,22,33767,14.2,36,12.2
Washington,12722,17,31596,10.5,34,11.5
Watauga,52372,21,38380,6.1,25,13.0
Wayne,124583,20,41526,8.4,32,11.9
Wilkes,69023,22,35895,8.3,29,12.9
Wilson,81667,21,40772,9.8,37,11.9
Yadkin,38038,20,40998,10.1,30,12.8
Yancey,17566,21,35866,7.6,27,13.1
,,,,,,