CORES,COUNTY
001,ALAMANCE
002,ALEXANDER
003,ALLEGHANY
004,ANSON
005,ASHE 
006,AVERY   
007,BEAUFORT
008,BERTIE
009,BLADEN
010,BRUNSWICK
011,BUNCOMBE
012,BURKE 
013,CABARRUS
014,CALDWELL
015,CAMDEN
016,CARTERET
017,CASWELL
018,CATAWBA
019,CHATHAM
020,CHEROKEE
021,CHOWAN
022,CLAY
023,CLEVELAND
024,COLUMBUS
025,CRAVEN
026,CUMBERLAND
027,CURRITUCK
028,DARE
029,DAVIDSON
030,DAVIE 
031,DUPLIN
032,DURHAM 
033,EDGECOMBE
034,FORSYTH
035,FRANKLIN 
036,GASTON  
037,GATES
038,GRAHAM
039,GRANVILLE
040,GREENE 
041,GUILFORD
042,HALIFAX
043,HARNETT
044,HAYWOOD
045,HENDERSON 
046,HERTFORD
047,HOKE
048,HYDE
049,IREDELL
050,JACKSON
051,JOHNSTON
052,JONES
053,LEE
054,LENOIR
055,LINCOLN 
056,McDOWELL
057,MACON
058,MADISON
059,MARTIN
060,MECKLENBURG
061,MITCHELL
062,MONTGOMERY
063,MOORE  
064,NASH 
065,NEW HANOVER
066,NORTHAMPTON
067,ONSLOW
068,ORANGE
069,PAMLICO
070,PASQUOTANK
071,PENDER
072,PERQUIMANS
073,PERSON
074,PITT
075,POLK
076,RANDOLPH
077,RICHMOND
078,ROBESON
079,ROCKINGHAM
080,ROWAN
081,RUTHERFORD 
082,SAMPSON
083,SCOTLAND
084,STANLY
085,STOKES
086,SURRY
087,SWAIN
088,TRANSYLVANIA
089,TYRELL
090,UNION
091,VANCE
092,WAKE  
093,WARREN 
094,WASHINGTON
095,WATAUGA
096,WAYNE
097,WILKES  
098,WILSON
099,YADKIN  
100,YANCEY 